device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374585415,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374591147,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374596967,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374602729,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374608573,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37374614316,0,0,0.000,0.000,0.000,0.000,
