device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753475351,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753481261,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753487169,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753493086,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753499014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10753504944,0,0,0.000,0.000,0.000,0.000,
